noise,alpha,labelling,seed,balanced_accuracy,macro_f1,pr_auc
white,1.0,binary,0,0.581980085538626,0.391713747645951,0.48964354790022024
white,1.0,signed,0,0.5687200730304179,0.38649781348479145,
white,1.0,binary,1,0.6125233673500659,0.44583333333333336,0.5542498094534725
white,1.0,signed,1,0.5892401862638221,0.46607648725212464,
white,1.0,binary,2,0.5810315860215054,0.37681159420289856,0.4382920609392875
white,1.0,signed,2,0.4864780679296808,0.41721390546774234,
white,1.0,binary,3,0.5447424739620488,0.43006993006993005,0.5269083702878669
white,1.0,signed,3,0.520340142247245,0.3887411865896329,
white,1.0,binary,4,0.6086461689312228,0.38860103626943004,0.4177665610354538
white,1.0,signed,4,0.5220976854383087,0.4356779661016949,
white,1.0,binary,5,0.5935179997198488,0.3820662768031189,0.3523164164236182
white,1.0,signed,5,0.5367662108556447,0.3677514449952863,
white,1.0,binary,6,0.5802146053140363,0.4724689165186501,0.5231703418367316
white,1.0,signed,6,0.5216809374940482,0.4091893514836565,
white,1.0,binary,7,0.6176994638915169,0.44140625,0.4978373792047438
white,1.0,signed,7,0.5955298013245033,0.43718183946059,
white,1.0,binary,8,0.5126497533474278,0.28493150684931506,0.24999154198338683
white,1.0,signed,8,0.47114482382351075,0.4064227863509869,
white,1.0,binary,9,0.627193657635468,0.45454545454545453,0.5088470143084788
white,1.0,signed,9,0.5715837593169683,0.46750624793339374,
white,2.0,binary,0,0.5703521785618818,0.38257575757575757,0.3163364049707553
white,2.0,signed,0,0.48888324319358806,0.3462583659516156,
white,2.0,binary,1,0.578192516318838,0.4218455743879473,0.3802502962388357
white,2.0,signed,1,0.5319748824271731,0.39448551154795664,
white,2.0,binary,2,0.5018145161290323,0.3295880149812734,0.2133480047687483
white,2.0,signed,2,0.4182070319167093,0.31467708769998487,
white,2.0,binary,3,0.4925952346982451,0.38198198198198197,0.30574794459581467
white,2.0,signed,3,0.41846319755187217,0.3338428316045043,
white,2.0,binary,4,0.571149670822244,0.35827664399092973,0.3073354699005693
white,2.0,signed,4,0.48125113905595046,0.3804327497839802,
white,2.0,binary,5,0.5824870430032217,0.3685393258426966,0.29305719528410445
white,2.0,signed,5,0.4601100379138605,0.35815751593389095,
white,2.0,binary,6,0.5163301662707839,0.42786069651741293,0.4076271175350546
white,2.0,signed,6,0.4159154143981629,0.3154099852457393,
white,2.0,binary,7,0.5569930621255125,0.3985890652557319,0.37175052839931133
white,2.0,signed,7,0.5189477557027226,0.3540048986398457,
white,2.0,binary,8,0.48809901338971107,0.2967479674796748,0.24740388696703688
white,2.0,signed,8,0.391809551133865,0.3042406496186146,
white,2.0,binary,9,0.5400400246305419,0.3852140077821012,0.3319545946973578
white,2.0,signed,9,0.4959434740218322,0.37909569233098644,
white,3.142,binary,0,0.5460187784014969,0.3632887189292543,0.2649141878816595
white,3.142,signed,0,0.4405458047699427,0.3161465709915021,
white,3.142,binary,1,0.5422604272011278,0.3963963963963964,0.32214239508488307
white,3.142,signed,1,0.46829249601353484,0.33979441216047174,
white,3.142,binary,2,0.4656502016129032,0.30905861456483125,0.1716040603941254
white,3.142,signed,2,0.3484212322922,0.253056389885796,
white,3.142,binary,3,0.4748323583963475,0.369449378330373,0.2609290477883074
white,3.142,signed,3,0.3659958124129045,0.29951444771913754,
white,3.142,binary,4,0.5494291917635523,0.33867276887871856,0.24114184256082524
white,3.142,signed,4,0.4471933661381447,0.3607406741571681,
white,3.142,binary,5,0.5421189942568987,0.3325740318906606,0.29372956007955575
white,3.142,signed,5,0.39742018433868415,0.3243848923080445,
white,3.142,binary,6,0.5193959564713031,0.43630573248407645,0.3579583449049131
white,3.142,signed,6,0.3763843790897688,0.2786752542850104,
white,3.142,binary,7,0.5390649637338379,0.3747534516765286,0.350956306737671
white,3.142,signed,7,0.4540194996320824,0.35582707273761477,
white,3.142,binary,8,0.4989429175475687,0.0,0.1897944233998602
white,3.142,signed,8,0.33262861169837915,0.29546165884194053,
white,3.142,binary,9,0.49086360837438425,0.3275862068965517,0.22757808935678372
white,3.142,signed,9,0.4079194799810471,0.3494273831455676,
pink,1.0,binary,0,0.5406976744186047,0.3440366972477064,0.38977202891573937
pink,1.0,signed,0,0.45054945054945056,0.3749128111590492,
pink,1.0,binary,1,0.5870721093438754,0.4277456647398844,0.4525643885185875
pink,1.0,signed,1,0.580142582185185,0.43087873350954925,
pink,1.0,binary,2,0.6268313172043011,0.4215456674473068,0.44409484450003
pink,1.0,signed,2,0.5604966717869945,0.46280930781428625,
pink,1.0,binary,3,0.5701241261235555,0.45104895104895104,0.5102129037173351
pink,1.0,signed,3,0.5453165082899752,0.40629019218551815,
pink,1.0,binary,4,0.6002941588457766,0.3860369609856263,0.4259014952417669
pink,1.0,signed,4,0.5642427556041553,0.40587475895547825,
pink,1.0,binary,5,0.5508299481720129,0.35563380281690143,0.3360808609498284
pink,1.0,signed,5,0.5000430470138367,0.300839483666386,
pink,1.0,binary,6,0.564208970888803,0.45387453874538747,0.43891070392569376
pink,1.0,signed,6,0.5005163617960836,0.4168623837320417,
pink,1.0,binary,7,0.6067250078839483,0.4316831683168317,0.5072213857130332
pink,1.0,signed,7,0.5921817512877116,0.4398800049576414,
pink,1.0,binary,8,0.5498414376321353,0.3308270676691729,0.2551590582918134
pink,1.0,signed,8,0.5191564348767442,0.42719546556903615,
pink,1.0,binary,9,0.5842672413793104,0.42147117296222664,0.49456411183671184
pink,1.0,signed,9,0.5399524811838244,0.42000454882555643,
pink,2.0,binary,0,0.562057270783213,0.3541666666666667,0.2787928811925356
pink,2.0,signed,0,0.44391599779530816,0.3900204141555433,
pink,2.0,binary,1,0.5486270724158009,0.39697542533081287,0.35621479575576176
pink,2.0,signed,1,0.5104283907902233,0.37849347546342377,
pink,2.0,binary,2,0.5580981182795699,0.3496143958868895,0.26931751164522055
pink,2.0,signed,2,0.45556408943505716,0.39754570595806626,
pink,2.0,binary,3,0.5039663290055643,0.41641337386018235,0.3082649028584298
pink,2.0,signed,3,0.46823992959998506,0.2918887016279201,
pink,2.0,binary,4,0.556222860344586,0.35363457760314343,0.3239867673701382
pink,2.0,signed,4,0.5136231091671223,0.3571051033059647,
pink,2.0,binary,5,0.5082469533548116,0.3333333333333333,0.22786467953338407
pink,2.0,signed,5,0.4133366146528787,0.22196575988095157,
pink,2.0,binary,6,0.48204717450146384,0.4146341463414634,0.38879514002985927
pink,2.0,signed,6,0.3783029006919107,0.25948207275379076,
pink,2.0,binary,7,0.5649164301482182,0.40619621342512907,0.33961236468849515
pink,2.0,signed,7,0.5192696835908757,0.3451356328521113,
pink,2.0,binary,8,0.5448907681465821,0.3549920760697306,0.2624887133010343
pink,2.0,signed,8,0.518964380593581,0.26672254070423634,
pink,2.0,binary,9,0.510621921182266,0.36259541984732824,0.30014057147757645
pink,2.0,signed,9,0.42155181054434787,0.33143041782117,
pink,3.142,binary,0,0.5396869152632986,0.3188405797101449,0.2623197705679071
pink,3.142,signed,0,0.3853380814587711,0.36338844790093305,
pink,3.142,binary,1,0.5703089087064448,0.4051172707889126,0.31545269428327816
pink,3.142,signed,1,0.5014124739832356,0.40895072042396424,
pink,3.142,binary,2,0.4823000672043011,0.2717948717948718,0.24537590852906224
pink,3.142,signed,2,0.32174005803038064,0.29701038613525577,
pink,3.142,binary,3,0.49985732629476387,0.4192139737991266,0.25489488932172827
pink,3.142,signed,3,0.4311113912172713,0.2532228453856607,
pink,3.142,binary,4,0.5335568707101834,0.3418181818181818,0.23978879084105775
pink,3.142,signed,4,0.436372334609076,0.2919370775039576,
pink,3.142,binary,5,0.5051740439837512,0.33116883116883117,0.2777654197554718
pink,3.142,signed,5,0.30833073426834695,0.1878437499556543,
pink,3.142,binary,6,0.5040462906700547,0.417910447761194,0.3445684426994642
pink,3.142,signed,6,0.362635191941948,0.28663513794070483,
pink,3.142,binary,7,0.5364790286975717,0.3895253682487725,0.28071463724570284
pink,3.142,signed,7,0.4590415746872701,0.2915008874131905,
pink,3.142,binary,8,0.510077519379845,0.10666666666666667,0.21636923251081047
pink,3.142,signed,8,0.35546386596649165,0.34094342789994964,
pink,3.142,binary,9,0.5002616995073892,0.36395759717314485,0.21494762481511087
pink,3.142,signed,9,0.4039720126473858,0.2924489489005618,
red,1.0,binary,0,0.5765002673082064,0.366120218579235,0.40193387014023246
red,1.0,signed,0,0.5253927107375383,0.4652546816915852,
red,1.0,binary,1,0.6449465232447673,0.47674418604651164,0.6688339762377353
red,1.0,signed,1,0.6717599101608439,0.49629365136042275,
red,1.0,binary,2,0.7371219758064516,0.5684931506849316,0.5999327064770981
red,1.0,signed,2,0.6476233145587984,0.5793199786562563,
red,1.0,binary,3,0.6908546154943644,0.5510204081632653,0.6938070425063725
red,1.0,signed,3,0.6834924102901666,0.5737743373211354,
red,1.0,binary,4,0.678999159546155,0.457286432160804,0.5597778685630861
red,1.0,signed,4,0.6540459267359213,0.5762281511035482,
red,1.0,binary,5,0.6696753747023392,0.44836272040302266,0.6863749024115657
red,1.0,signed,5,0.7096093118000799,0.5512873438348723,
red,1.0,binary,6,0.568427884880959,0.45607476635514016,0.5645542619920374
red,1.0,signed,6,0.5580046417600596,0.49173521205576237,
red,1.0,binary,7,0.8090350047303689,0.686084142394822,0.7232592127249929
red,1.0,signed,7,0.7647534952170713,0.7290167504228329,
red,1.0,binary,8,0.6344873150105708,0.4107883817427386,0.4622137451119247
red,1.0,signed,8,0.6333456404853565,0.4712660054581174,
red,1.0,binary,9,0.7650708128078818,0.6217008797653959,0.7062867087331222
red,1.0,signed,9,0.7345410083283218,0.6860128908006432,
red,2.0,binary,0,0.5354016305800589,0.36661211129296234,0.2612315322105827
red,2.0,signed,0,0.49851441661786494,0.2784664480411862,
red,2.0,binary,1,0.5852333670436088,0.4360655737704918,0.33695493318362846
red,2.0,signed,1,0.5412990213106933,0.36770262943101245,
red,2.0,binary,2,0.5638020833333333,0.34502923976608185,0.48195592608763044
red,2.0,signed,2,0.503968253968254,0.44590662478167964,
red,2.0,binary,3,0.5032458267941219,0.42302158273381296,0.3551868916512717
red,2.0,signed,3,0.4731051401814621,0.30010202490994503,
red,2.0,binary,4,0.6129009665219218,0.3958333333333333,0.3844883390721989
red,2.0,signed,4,0.538454528886459,0.4117041686380905,
red,2.0,binary,5,0.5579300322173975,0.3611111111111111,0.5930684237160909
red,2.0,signed,5,0.5963777968375877,0.34432143524732733,
red,2.0,binary,6,0.5155844335193062,0.4372093023255814,0.5225108667091694
red,2.0,signed,6,0.5029070042690044,0.3395401420723351,
red,2.0,binary,7,0.6652317880794703,0.48091603053435117,0.6277385723514752
red,2.0,signed,7,0.690710080941869,0.4894021151510238,
red,2.0,binary,8,0.4489957716701903,0.2936378466557912,0.2895052826598574
red,2.0,signed,8,0.45960118556284835,0.2842243964822064,
red,2.0,binary,9,0.6133697660098522,0.44866920152091255,0.5884863302292315
red,2.0,signed,9,0.6227872200353542,0.44976045775026785,
red,3.142,binary,0,0.5440807939053729,0.26548672566371684,0.29326122208950367
red,3.142,signed,0,0.3889307531548911,0.3986748866213152,
red,3.142,binary,1,0.5318868560571236,0.40707964601769914,0.2233082564307181
red,3.142,signed,1,0.4203496467867638,0.2491054890073947,
red,3.142,binary,2,0.6156334005376345,0.39849624060150374,0.39749620046589773
red,3.142,signed,2,0.5263696876600102,0.5008480504738523,
red,3.142,binary,3,0.49087601655014984,0.41595441595441596,0.3174610411403296
red,3.142,signed,3,0.362015503875969,0.13899424637237548,
red,3.142,binary,4,0.5555487463230144,0.3129251700680272,0.20249297221673834
red,3.142,signed,4,0.44348004373974853,0.4486009124627433,
red,3.142,binary,5,0.5063559322033898,0.3418079096045198,0.4048700484570334
red,3.142,signed,5,0.5177508016491067,0.1795087218225423,
red,3.142,binary,6,0.5418922278075458,0.4351005484460695,0.4154099332387156
red,3.142,signed,6,0.5128177333736018,0.4468861819064731,
red,3.142,binary,7,0.5107064017660045,0.3795180722891566,0.4897478908878824
