noise,alpha,h,rmse_plain,rmse_hybrid,mae_plain,mae_hybrid,pr_plain,pr_hybrid,roc_plain,roc_hybrid,f1_plain,f1_hybrid,prec_plain,prec_hybrid,rec_plain,rec_hybrid,rmse_gain_%
white,1.0,2,1.1438361834075532,1.0625570062357814,0.9092565524981345,0.8482051257882209,0.2845163041992552,0.27228765677980743,0.5191660495873354,0.5115995875066114,0.24704088351850229,0.23570069817266714,0.28583333333333333,0.2725,0.21763610376080875,0.20776593066654425,7.105840709605505
white,1.0,5,1.2259983996612978,1.0820979780124713,0.968185484942614,0.8615674508029721,0.28517549970530975,0.2742935997099511,0.5223226687122972,0.5138167119086923,0.2478276560197401,0.23420743103241506,0.2866666666666666,0.2708333333333333,0.21837158154382888,0.20641510856410572,11.737406972846074
white,1.0,10,1.3527603859583737,1.1177168923730438,1.0684825437237917,0.8909237663240654,0.2670534868886994,0.2675364208094105,0.5041057823506558,0.5024321689918735,0.22955403485295509,0.22664777843467462,0.2658333333333333,0.2625,0.20209408807624404,0.19951257733496885,17.375101756754315
white,1.0,25,1.5288628687044625,1.158861618136253,1.214843458475439,0.9237390133365321,0.26270882850409016,0.2650836845778734,0.49920872226426605,0.49926676326873726,0.22431394773081093,0.2231079682598015,0.26,0.25833333333333336,0.19735280048130263,0.1964415481337871,24.2010750697179
pink,1.0,2,0.7307893182969262,0.6115022286287465,0.5790854723980833,0.48966050948892764,0.30509578786661035,0.291210899627473,0.5320148842958107,0.5291258982030506,0.27384012063004004,0.2608347032645311,0.3166666666666667,0.3016666666666667,0.24134714439165936,0.22986113092107804,16.323047789775202
pink,1.0,5,0.9416938151892809,0.6821471090048639,0.7378045211875914,0.5434117413407387,0.29703184705094715,0.28659179994723033,0.5276563748694612,0.5217631247917397,0.2570063842724703,0.2555632397046909,0.2975,0.29583333333333334,0.22633707804701494,0.22506257911073888,27.561687461252784
pink,1.0,10,1.1724442495903824,0.7416527846148543,0.9138928270679526,0.5900267214313235,0.2701401142071402,0.2673285428068016,0.5144451174853328,0.5061353207989229,0.23524837387246791,0.2368818207231087,0.2725,0.27416666666666667,0.2070655682531236,0.2086340624253333,36.743023399708264
pink,1.0,25,1.4811711054784136,0.8241027959656216,1.1710116224541387,0.6576133017000693,0.2628080865223039,0.26510450007609093,0.49113235581858633,0.4968464448322325,0.2197974715031755,0.22626187549976864,0.255,0.2625,0.1932423802498765,0.19892389715438874,44.36140477507903
red,1.0,2,0.2318707105054859,0.18882543021076703,0.12972255994708404,0.10940112380451701,0.651099840015314,0.6475048159561614,0.725991754407587,0.7297890793532917,0.5683342682172781,0.5596457251351356,0.775295959357195,0.7327861952861955,0.4508495822728602,0.45475009195656363,18.564345708381506
red,1.0,5,0.4894913015832347,0.3381309457378658,0.29867743622666704,0.2077072803570131,0.4442089634517123,0.45741734589251903,0.6585462127860735,0.6670202160944426,0.46058922124196333,0.4690424110030153,0.5325000000000001,0.5416666666666666,0.40599787065769277,0.4138026696288461,30.921970493817053
